REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DS25WSV,WF0EXXTTRESM60735,,TRANSIT VAN,03/06/2025,DS25WSV,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,03/06/2025,03/06/2025,,,,,,,VIN: WF0EXXTTRESM60735,,GR11,
DS25WWZ,WF0EXXTTRESM60736,,TRANSIT VAN,03/06/2025,DS25WWZ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,03/06/2025,03/06/2025,,,,,,,VIN: WF0EXXTTRESM60736,,GR11,
DL25FHA,WF0EXXTTRESM60734,,TRANSIT VAN,03/06/2025,DL25FHA,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,03/06/2025,03/06/2025,,,,,,,VIN: WF0EXXTTRESM60734,,GR11,
DS25WWU,WF0EXXTTRESM60727,,TRANSIT VAN,03/06/2025,DS25WWU,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,03/06/2025,03/06/2025,,,,,,,VIN: WF0EXXTTRESM60727,,GR11,
DS25WUB,WF0EXXTTRESM60743,,TRANSIT VAN,04/06/2025,DS25WUB,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,04/06/2025,04/06/2025,,,,,,,VIN: WF0EXXTTRESM60743,,GR11,
DS25WVO,WF0EXXTTRESM60747,,TRANSIT VAN,04/06/2025,DS25WVO,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,04/06/2025,04/06/2025,,,,,,,VIN: WF0EXXTTRESM60747,,GR11,
DS25WTX,WF0EXXTTRESM60745,,TRANSIT VAN,04/06/2025,DS25WTX,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,04/06/2025,04/06/2025,,,,,,,VIN: WF0EXXTTRESM60745,,GR11,
DS25WTA,WF0EXXTTRESM60728,,TRANSIT VAN,04/06/2025,DS25WTA,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,04/06/2025,04/06/2025,,,,,,,VIN: WF0EXXTTRESM60728,,GR11,
DL25FHG,WF0EXXTTRESM60754,,TRANSIT VAN,05/06/2025,DL25FHG,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,05/06/2025,05/06/2025,,,,,,,VIN: WF0EXXTTRESM60754,,GR11,
DL25FKX,WF0EXXTTRESM60755,,TRANSIT VAN,05/06/2025,DL25FKX,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,05/06/2025,05/06/2025,,,,,,,VIN: WF0EXXTTRESM60755,,GR11,
DS25WVP,WF0EXXTTRESM60757,,TRANSIT VAN,05/06/2025,DS25WVP,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,05/06/2025,05/06/2025,,,,,,,VIN: WF0EXXTTRESM60757,,GR11,
DS25WSY,WF0EXXTTRESM60756,,TRANSIT VAN,05/06/2025,DS25WSY,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,05/06/2025,05/06/2025,,,,,,,VIN: WF0EXXTTRESM60756,,GR11,
DL25FZT,WF0EXXTTRESM60729,,TRANSIT VAN,06/06/2025,DL25FZT,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,06/06/2025,06/06/2025,,,,,,,VIN: WF0EXXTTRESM60729,,GR11,
DS25WTD,WF0EXXTTRESM60761,,TRANSIT VAN,06/06/2025,DS25WTD,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,06/06/2025,06/06/2025,,,,,,,VIN: WF0EXXTTRESM60761,,GR11,
DS25YDP,WF0EXXTTRESM60746,,TRANSIT VAN,06/06/2025,DS25YDP,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,06/06/2025,06/06/2025,,,,,,,VIN: WF0EXXTTRESM60746,,GR11,
DS25XUT,WF0EXXTTRESM60762,,TRANSIT VAN,06/06/2025,DS25XUT,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,06/06/2025,06/06/2025,,,,,,,VIN: WF0EXXTTRESM60762,,GR11,
